street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Tweede Tuindwarsstraat,10-c,https://www.funda.nl/detail/koop/amsterdam/appartement-tweede-tuindwarsstraat-10-c/43058704/,40,400000.0,10000.0,Amsterdam,Netherlands,"Tweede Tuindwarsstraat 10-c, Amsterdam, Netherlands",52.3771425,4.8816763,jordaan
Beulingstraat,4-t,https://www.funda.nl/detail/koop/amsterdam/appartement-beulingstraat-4-t/43056366/,50,485000.0,9700.0,Amsterdam,Netherlands,"Beulingstraat 4-t, Amsterdam, Netherlands",52.3680539,4.8875502,centrum
Eerste Rozendwarsstraat,13-h,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-rozendwarsstraat-13-h/43056213/,51,495000.0,9705.88,Amsterdam,Netherlands,"Eerste Rozendwarsstraat 13-h, Amsterdam, Netherlands",52.3728418,4.880595,jordaan
Willem De Zwijgerlaan,66-3,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-66-3/43056289/,48,425000.0,8854.17,Amsterdam,Netherlands,"Willem De Zwijgerlaan 66-3, Amsterdam, Netherlands",52.3722119,4.8639208,erasmusbuurt
Eerste Kostverlorenkade,14-1,https://www.funda.nl/detail/koop/amsterdam/appartement-eerste-kostverlorenkade-14-1/43056935/,49,425000.0,8673.47,Amsterdam,Netherlands,"Eerste Kostverlorenkade 14-1, Amsterdam, Netherlands",52.37876,4.8732572,frederik hendrik buurt
Marnixkade,27-2,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixkade-27-2/43056984/,59,500000.0,8474.58,Amsterdam,Netherlands,"Marnixkade 27-2, Amsterdam, Netherlands",52.3823797,4.8810584,jordaan
Van Bossestraat,10-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-bossestraat-10-2/43056739/,41,375000.0,9146.34,Amsterdam,Netherlands,"Van Bossestraat 10-2, Amsterdam, Netherlands",52.3817942,4.8683162,staatsliedenbuurt
Herengracht,285-3,https://www.funda.nl/detail/koop/amsterdam/appartement-herengracht-285-3/43944496/,39,450000.0,11538.46,Amsterdam,Netherlands,"Herengracht 285-3, Amsterdam, Netherlands",52.3709649,4.8873261,centrum
Burgemeester Hogguerstraat,315,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-315/43943314/,90,425000.0,4722.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 315, Amsterdam, Netherlands",52.3718878,4.8305029,Unknown
Kinkerstraat,83-3,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-83-3/43942215/,46,350000.0,7608.7,Amsterdam,Netherlands,"Kinkerstraat 83-3, Amsterdam, Netherlands",52.3668787,4.8713982,amsterdam-west
Spuistraat,3-f7,https://www.funda.nl/detail/koop/amsterdam/appartement-spuistraat-3-f7/43941351/,61,500000.0,8196.72,Amsterdam,Netherlands,"Spuistraat 3-f7, Amsterdam, Netherlands",52.3771015,4.8943686,centrum
Goudsbloemstraat,203-d,https://www.funda.nl/detail/koop/amsterdam/appartement-goudsbloemstraat-203-d/43940004/,47,495000.0,10531.91,Amsterdam,Netherlands,"Goudsbloemstraat 203-d, Amsterdam, Netherlands",52.3802024,4.8812824,jordaan
Spaarndammerstraat,18-d,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-18-d/43948178/,49,415000.0,8469.39,Amsterdam,Netherlands,"Spaarndammerstraat 18-d, Amsterdam, Netherlands",52.3868588,4.8818299,spaarndammerbuurt
