python_file,url,full_adres,city,price,area,num_rooms,available
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-32-3,Eerste Jan van der Heijdenstraat 32-3,3,,78.0,0.0,Onder bod
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-42-4v,Eerste Jan van der Heijdenstraat 42-4V,4V,,34.0,0.0,Verkocht onder voorbehoud
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=tuinstraat-48-1,Tuinstraat 48-1,1,1130000.0,116.0,0.0,Beschikbaar
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-46-h,Eerste Jan van der Heijdenstraat 46 H,H,,155.0,0.0,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-48-4v,Eerste Jan van der Heijdenstraat 48-4V,4V,,34.0,,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=populierenlaan-533,Populierenlaan 533,533,,85.0,0.0,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=veerstraat-46-h,Veerstraat 46-H,H,,87.0,,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=van-ostadestraat-144-4b,van Ostadestraat 144-4B,4B,,35.0,,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-44-1,Eerste Jan van der Heijdenstraat 44-1,1,,77.0,0.0,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=eerste-jan-van-der-heijdenstraat-32-h,Eerste Jan van der Heijdenstraat 32-H,H,,88.0,0.0,Verkocht
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=brouwersgracht-169-4,Brouwersgracht 169-4,4,,78.0,,Verkocht onder voorbehoud
aardenhout.py,https://aardenhoutmakelaardij.nl/?portfolio=rooseveltlaan-8-2,Rooseveltlaan 8-2,2,900000.0,,0.0,Beschikbaar
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/vespuccistraat/99-1?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Vespuccistraat 99-1, 1056SK Amsterdam",Amsterdam,485000.0,59.0,3.0,Beschikbaar
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/akerwateringstraat/73-ref-00256?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Akerwateringstraat 73, 1069GB Amsterdam",Amsterdam,395000.0,98.0,4.0,Onder bod
add.py,https://www.addmakelaardij.nl/woningaanbod/koop/amsterdam/ruiseveenpad/88?forsaleorrent=0&pricerange.maxprice=500000&take=10,"Ruiseveenpad 88, 1106AN Amsterdam",Amsterdam,340000.0,71.0,3.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/schinkelkade-58-h-amsterdam-937350423f514f99234e6dadb62b8aa48f2cd9/,Schinkelkade 58 H in Amsterdam,Amsterdam,,75.0,3.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/vatternkade-51-amsterdam-937350726c628bec7a47069378758ddb16ace6/,Vatternkade 51 in Amsterdam,Amsterdam,,111.0,4.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/geuzenkade-78-1-amsterdam-93735044b30f9a680a4c4dad8b14b8312e7f3d/,Geuzenkade 78 1 in Amsterdam,Amsterdam,,49.0,2.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/contact/,,,,,,Beschikbaar
aemestelle.py,https://hunzestraat115-2amsterdam.nl,Hunzestraat 115 2 in Amsterdam,Amsterdam,,85.0,4.0,Beschikbaar
